month,period_start,period_end,opening_portfolio,acquisitions_principal,scheduled_principal,defaulted_principal,principal_collections,recoveries,net_credit_loss,interest_collections,closing_portfolio,opening_cash,selic_income,available_cash,fees_due,fees_paid,reinvestment_purchase_price,residual_distribution,ending_cash,collateral_value,residual_nav,subordination_ratio,waterfall_uses,flags,interest_due__SEN,interest_paid__SEN,principal_paid__SEN,closing_balance__SEN,interest_due__MEZZ,interest_paid__MEZZ,principal_paid__MEZZ,closing_balance__MEZZ,interest_due__SUB,interest_paid__SUB,principal_paid__SUB,closing_balance__SUB
1,2026-03-31,2026-04-30,100000000.0,25000000.0,25000000.0,449999.99999999994,24550000.0,0.0,360000.0,3240600.0,100000000.0,2000000.0,16710.311367270413,29807310.31136727,99863.02478813265,99863.02478813265,24125000.0,0.0,4751139.549165074,101251139.54916507,20481139.54916507,0.20228058311600464,25056170.762202192,,687398.244284319,687398.244284319,0.0,68950000.0,143909.49312974204,143909.49312974204,0.0,11820000.0,0.0,0.0,0.0,20481139.54916507
2,2026-04-30,2026-05-31,100000000.0,31250000.0,31250000.0,562499.9999999999,30687500.0,0.0,449999.99999999994,3240600.0,100000000.0,4751139.549165074,39696.51060795058,38718936.05977302,99863.02478813265,99863.02478813265,30156250.0,0.0,7631515.297570825,104131515.29757082,23361515.297570825,0.22434625320501603,31087420.762202192,,687398.244284319,687398.244284319,0.0,68950000.0,143909.49312974204,143909.49312974204,0.0,11820000.0,0.0,0.0,0.0,23361515.297570825
3,2026-05-31,2026-06-30,100000000.0,39062500.0,39062500.0,703124.9999999999,38359375.0,0.0,562499.9999999999,3240600.0,100000000.0,7631515.297570825,63762.4984132479,49295252.795984074,99863.02478813265,99863.02478813265,37695312.5,0.0,10668769.533781879,107168769.53378189,26398769.533781886,0.24632894124496252,38626483.262202196,,687398.244284319,687398.244284319,0.0,68950000.0,143909.49312974204,143909.49312974204,0.0,11820000.0,0.0,0.0,0.0,26398769.533781886
4,2026-06-30,2026-07-31,100000000.0,48828125.0,48828125.0,878906.2499999999,47949218.75,90000.0,703125.0,3240600.0,100000000.0,10668769.533781879,89139.2304075718,62037727.51418945,99863.02478813265,99863.02478813265,47119140.625,0.0,13987416.126987256,110487416.12698725,29717416.12698725,0.26896652278329986,48050311.387202196,,687398.244284319,687398.244284319,0.0,68950000.0,143909.49312974204,143909.49312974204,0.0,11820000.0,0.0,0.0,0.0,29717416.12698725
5,2026-07-31,2026-08-31,100000000.0,36035156.25,36035156.25,648632.8125,35386523.4375,112500.0,518906.25,3240600.0,100000000.0,13987416.126987256,116867.03935276833,52843906.60384002,99863.02478813265,99863.02478813265,34773925.78125,0.0,17138810.060387827,113638810.06038782,32868810.06038782,0.2892393016340218,35705096.543452196,,687398.244284319,687398.244284319,0.0,68950000.0,143909.49312974204,143909.49312974204,0.0,11820000.0,0.0,0.0,0.0,32868810.06038782
6,2026-08-31,2026-09-30,100000000.0,38793945.3125,38793945.3125,698291.015625,38095654.296875,140625.0,558632.8125,3240600.0,100000000.0,17138810.060387827,143197.42628679363,58758886.78354962,99863.02478813265,99863.02478813265,37436157.2265625,0.0,20391558.794784926,116891558.79478493,36121558.79478493,0.30901768414432745,38367327.988764696,,687398.244284319,687398.244284319,0.0,68950000.0,143909.49312974204,143909.49312974204,0.0,11820000.0,0.0,0.0,0.0,36121558.79478493
7,2026-09-30,2026-10-31,100000000.0,40679931.640625,40679931.640625,732238.76953125,39947692.87109375,175781.25,585791.015625,3240600.0,100000000.0,20391558.794784926,170374.64836242876,63926007.564241104,99863.02478813265,99863.02478813265,39256134.033203125,0.0,23738702.768835783,120238702.76883578,39468702.76883578,0.3282528991078364,40187304.79540532,,687398.244284319,687398.244284319,0.0,68950000.0,143909.49312974204,143909.49312974204,0.0,11820000.0,0.0,0.0,0.0,39468702.76883578
8,2026-10-31,2026-11-30,100000000.0,41084289.55078125,41084289.55078125,739517.2119140625,40344772.33886719,129726.5625,591613.76953125,3240600.0,100000000.0,23738702.768835783,198340.55736116512,67652142.22756414,99863.02478813265,99863.02478813265,39646339.416503906,0.0,27074632.048858047,123574632.04885805,42804632.04885805,0.34638688652485133,40577510.1787061,,687398.244284319,687398.244284319,0.0,68950000.0,143909.49312974204,143909.49312974204,0.0,11820000.0,0.0,0.0,0.0,42804632.04885805
9,2026-11-30,2026-12-31,100000000.0,39148330.68847656,39148330.68847656,704669.9523925781,38443660.736083984,139658.203125,563735.9619140625,3240600.0,100000000.0,27074632.048858047,226212.76584534824,69124763.75391237,99863.02478813265,99863.02478813265,37778139.11437988,0.0,30415453.877330303,126915453.8773303,46145453.8773303,0.36359208014125716,38709309.87658208,,687398.244284319,687398.244284319,0.0,68950000.0,143909.49312974204,143909.49312974204,0.0,11820000.0,0.0,0.0,0.0,46145453.8773303
10,2026-12-31,2027-01-31,100000000.0,39926624.2980957,39926624.2980957,718679.2373657227,39207945.06072998,146447.75390625,574943.3898925781,3240600.0,100000000.0,30415453.877330303,254125.85233352077,73264572.54430005,99863.02478813265,99863.02478813265,38529192.44766235,0.0,33804209.33443551,130304209.33443551,49534209.33443551,0.38014281800599586,39460363.20986455,,687398.244284319,687398.244284319,0.0,68950000.0,143909.49312974204,143909.49312974204,0.0,11820000.0,0.0,0.0,0.0,49534209.33443551
